row_name,screen_id,analyte_id,detection_pool,minipool_id,pool_id,passed_str_profiling
ACH-000927,HTS,Analyte 100,DP8,PRISM Pool 110,P922,TRUE
ACH-000824,HTS,Analyte 101,DP7,PRISM Pool 001,P901,TRUE
ACH-000249,HTS,Analyte 101,DP8,PRISM Pool 038,P917,TRUE
ACH-001307,HTS,Analyte 102,DP7,PRISM Pool 001,P901,TRUE
ACH-000739,HTS,Analyte 102,DP8,PRISM Pool 038,P917,TRUE
ACH-000756,HTS,Analyte 103,DP7,PRISM Pool 001,P901,TRUE
ACH-000269,HTS,Analyte 103,DP8,PRISM Pool 038,P917,TRUE
ACH-000681,HTS,Analyte 104,DP7,PRISM Pool 001,P901,TRUE
ACH-000093,HTS,Analyte 104,DP8,PRISM Pool 038,P917,TRUE
ACH-000444,HTS,Analyte 105,DP7,PRISM Pool 001,P901,TRUE
ACH-000485,HTS,Analyte 105,DP8,PRISM Pool 038,P917,TRUE
ACH-000142,HTS,Analyte 106,DP7,PRISM Pool 002,P901,TRUE
ACH-000235,HTS,Analyte 106,DP8,PRISM Pool 066,P917,TRUE
ACH-000905,HTS,Analyte 107,DP7,PRISM Pool 002,P901,TRUE
ACH-000900,HTS,Analyte 107,DP8,PRISM Pool 066,P917,TRUE
ACH-000680,HTS,Analyte 108,DP7,PRISM Pool 002,P901,TRUE
ACH-000911,HTS,Analyte 108,DP8,PRISM Pool 066,P917,TRUE
ACH-000921,HTS,Analyte 109,DP7,PRISM Pool 002,P901,TRUE
ACH-000479,HTS,Analyte 109,DP8,PRISM Pool 066,P917,TRUE
ACH-000308,HTS,Analyte 11,DP8,PRISM Pool 111,P923,TRUE
ACH-000954,HTS,Analyte 110,DP7,PRISM Pool 002,P901,TRUE
ACH-000401,HTS,Analyte 110,DP8,PRISM Pool 066,P917,TRUE
ACH-000280,HTS,Analyte 111,DP7,PRISM Pool 003,P901,TRUE
ACH-000915,HTS,Analyte 111,DP8,PRISM Pool 067,P917,TRUE
ACH-000012,HTS,Analyte 112,DP7,PRISM Pool 003,P901,TRUE
ACH-000982,HTS,Analyte 112,DP8,PRISM Pool 067,P917,TRUE
ACH-000098,HTS,Analyte 113,DP7,PRISM Pool 003,P901,TRUE
ACH-000544,HTS,Analyte 113,DP8,PRISM Pool 067,P917,TRUE
ACH-000589,HTS,Analyte 114,DP7,PRISM Pool 003,P901,TRUE
ACH-000823,HTS,Analyte 114,DP8,PRISM Pool 067,P917,TRUE
ACH-000738,HTS,Analyte 115,DP7,PRISM Pool 003,P901,TRUE
ACH-000021,HTS,Analyte 115,DP8,PRISM Pool 067,P917,TRUE
ACH-000837,HTS,Analyte 116,DP7,PRISM Pool 004,P901,TRUE
ACH-000350,HTS,Analyte 116,DP8,PRISM Pool 068,P917,TRUE
ACH-000967,HTS,Analyte 117,DP7,PRISM Pool 004,P901,TRUE
ACH-000330,HTS,Analyte 117,DP8,PRISM Pool 068,P917,TRUE
ACH-000662,HTS,Analyte 118,DP7,PRISM Pool 004,P901,TRUE
ACH-000256,HTS,Analyte 118,DP8,PRISM Pool 068,P917,TRUE
ACH-000537,HTS,Analyte 119,DP7,PRISM Pool 004,P901,TRUE
ACH-000041,HTS,Analyte 119,DP8,PRISM Pool 068,P917,TRUE
ACH-000091,HTS,Analyte 12,DP8,PRISM Pool 111,P923,TRUE
ACH-000427,HTS,Analyte 120,DP7,PRISM Pool 004,P901,TRUE
